사용본거지법정동명,동별 총 대수,휘발유,경유,엘피지,전기,휘발유(유연),휘발유(무연),CNG,"하이브리드
(휘발유+전기)","하이브리드
(경유+전기)","하이브리드
(LPG+전기)","하이브리드
(CNG+전기)",수소,기타연료
서울특별시 종로구 효제동,228 ,53 ,98 ,13 ,,,57 ,,6 ,1 ,,,,
서울특별시 종로구 종로5가,101 ,25 ,28 ,6 ,,,36 ,1 ,4 ,,,,,1 
서울특별시 종로구 종로6가,466 ,65 ,252 ,24 ,4 ,,105 ,,11 ,,,,1 ,4 
서울특별시 종로구 이화동,470 ,101 ,175 ,31 ,12 ,,136 ,1 ,8 ,1 ,,,,5 
서울특별시 종로구 연건동,349 ,74 ,149 ,11 ,,,93 ,,20 ,,,,2 ,
서울특별시 종로구 충신동,601 ,112 ,229 ,63 ,1 ,,175 ,,21 ,,,,,
서울특별시 종로구 동숭동,894 ,202 ,291 ,55 ,11 ,,312 ,,22 ,,,,,1 
서울특별시 종로구 혜화동,819 ,174 ,229 ,50 ,3 ,,242 ,82 ,39 ,,,,,
서울특별시 종로구 명륜1가,926 ,222 ,306 ,61 ,4 ,,302 ,,29 ,,,,1 ,1 
서울특별시 종로구 명륜2가,754 ,191 ,198 ,41 ,6 ,1 ,277 ,,37 ,1 ,,,,2 
서울특별시 종로구 명륜4가,174 ,34 ,71 ,7 ,1 ,,54 ,,7 ,,,,,
서울특별시 종로구 명륜3가,861 ,178 ,305 ,82 ,7 ,,255 ,,31 ,,1 ,,,2 
서울특별시 종로구 창신동,"4,311 ",812 ,"1,691 ",325 ,17 ,,"1,329 ",5 ,124 ,,,,1 ,7 
서울특별시 종로구 숭인동,"3,737 ",801 ,"1,386 ",274 ,14 ,,"1,149 ",2 ,97 ,3 ,5 ,,,6 
서울특별시 종로구 교남동,227 ,69 ,51 ,8 ,2 ,,79 ,,16 ,,1 ,,,1 
서울특별시 종로구 평동,595 ,154 ,187 ,12 ,10 ,,179 ,,46 ,,1 ,,1 ,5 
서울특별시 종로구 송월동,346 ,110 ,88 ,7 ,4 ,,117 ,,20 ,,,,,
서울특별시 종로구 홍파동,566 ,169 ,149 ,18 ,5 ,,174 ,,48 ,,,,1 ,2 
서울특별시 종로구 교북동,302 ,97 ,91 ,7 ,3 ,,85 ,,17 ,,1 ,,,1 
서울특별시 종로구 행촌동,882 ,172 ,304 ,75 ,5 ,,280 ,4 ,39 ,,1 ,,,2 
서울특별시 종로구 구기동,"1,979 ",571 ,609 ,73 ,13 ,,579 ,1 ,126 ,,,,1 ,6 
서울특별시 종로구 평창동,"4,592 ","1,456 ","1,396 ",141 ,48 ,1 ,"1,258 ",,275 ,2 ,1 ,,3 ,11 
서울특별시 종로구 부암동,"1,480 ",394 ,462 ,65 ,14 ,,462 ,,72 ,1 ,3 ,,2 ,5 
서울특별시 종로구 홍지동,522 ,138 ,160 ,22 ,,,176 ,,25 ,1 ,,,,
서울특별시 종로구 신영동,"1,157 ",262 ,420 ,60 ,11 ,1 ,342 ,,57 ,,3 ,,,1 
서울특별시 종로구 무악동,"2,834 ",631 ,973 ,170 ,17 ,1 ,862 ,,168 ,3 ,,,6 ,3 
서울특별시 중구 무교동,218 ,73 ,60 ,12 ,4 ,,59 ,,10 ,,,,,
서울특별시 중구 다동,232 ,57 ,73 ,2 ,3 ,,56 ,,40 ,,,,,1 
서울특별시 중구 태평로1가,"1,029 ",51 ,464 ,251 ,70 ,,153 ,5 ,18 ,,9 ,,7 ,1 
서울특별시 중구 을지로1가,125 ,30 ,53 ,3 ,1 ,,33 ,,3 ,,,,1 ,1 
서울특별시 중구 을지로2가,"1,036 ",176 ,476 ,67 ,33 ,,143 ,,54 ,,,,,87 
서울특별시 중구 남대문로1가,17 ,2 ,8 ,,,,6 ,,1 ,,,,,
서울특별시 중구 삼각동,166 ,65 ,51 ,1 ,,,29 ,,20 ,,,,,
서울특별시 중구 수하동,196 ,53 ,61 ,1 ,5 ,,45 ,,17 ,12 ,,,,2 
서울특별시 중구 장교동,157 ,42 ,50 ,1 ,,,54 ,,5 ,1 ,,,,4 
서울특별시 중구 수표동,426 ,63 ,226 ,19 ,22 ,,87 ,,8 ,,,,1 ,
서울특별시 중구 소공동,482 ,135 ,142 ,2 ,,,182 ,,19 ,1 ,,,,1 
서울특별시 중구 남창동,247 ,55 ,115 ,13 ,,,61 ,,3 ,,,,,
서울특별시 중구 북창동,241 ,58 ,92 ,10 ,,,59 ,,12 ,1 ,,,,9 
서울특별시 중구 태평로2가,412 ,48 ,59 ,3 ,216 ,,78 ,,5 ,,,,1 ,2 
서울특별시 중구 남대문로2가,314 ,10 ,270 ,1 ,,,29 ,,1 ,,,,,3 
서울특별시 중구 남대문로3가,37 ,4 ,14 ,,,,7 ,,12 ,,,,,
서울특별시 중구 남대문로4가,135 ,28 ,42 ,,,,63 ,,2 ,,,,,
서울특별시 중구 남대문로5가,"10,328 ","5,474 ","4,010 ",10 ,131 ,,201 ,,498 ,,,,1 ,3 
서울특별시 중구 봉래동1가,167 ,19 ,107 ,3 ,,,30 ,,6 ,,,,1 ,1 
서울특별시 중구 봉래동2가,50 ,2 ,34 ,3 ,1 ,,6 ,,4 ,,,,,
서울특별시 중구 회현동1가,"1,172 ",327 ,442 ,41 ,13 ,1 ,289 ,,56 ,1 ,,,1 ,1 
서울특별시 중구 회현동2가,"1,731 ",700 ,795 ,8 ,11 ,,126 ,,70 ,17 ,,,,4 
서울특별시 중구 회현동3가,47 ,9 ,19 ,,,,19 ,,,,,,,
서울특별시 중구 충무로1가,165 ,37 ,73 ,11 ,,,40 ,,3 ,,,,1 ,
서울특별시 중구 충무로2가,339 ,113 ,99 ,11 ,3 ,,100 ,1 ,11 ,,,,,1 
서울특별시 중구 명동1가,82 ,15 ,34 ,2 ,1 ,,29 ,,1 ,,,,,
서울특별시 중구 명동2가,468 ,57 ,301 ,11 ,4 ,,84 ,,11 ,,,,,
서울특별시 중구 남산동1가,90 ,11 ,34 ,8 ,6 ,,25 ,,6 ,,,,,
서울특별시 중구 남산동2가,223 ,47 ,91 ,9 ,,1 ,65 ,2 ,8 ,,,,,
서울특별시 중구 남산동3가,50 ,14 ,20 ,,,,12 ,,3 ,,,,,1 
서울특별시 중구 저동1가,76 ,17 ,15 ,2 ,,,40 ,,2 ,,,,,
서울특별시 중구 충무로4가,618 ,166 ,213 ,21 ,3 ,,179 ,,35 ,1 ,,,,
서울특별시 중구 충무로5가,273 ,77 ,101 ,6 ,4 ,,73 ,,11 ,1 ,,,,
서울특별시 중구 인현동2가,183 ,42 ,73 ,16 ,,,43 ,,8 ,,,,,1 
서울특별시 중구 예관동,246 ,30 ,134 ,8 ,29 ,,32 ,7 ,5 ,,,,,1 
서울특별시 중구 묵정동,310 ,65 ,130 ,16 ,1 ,,88 ,,10 ,,,,,
서울특별시 중구 필동1가,159 ,54 ,50 ,5 ,,,44 ,,6 ,,,,,
서울특별시 중구 필동2가,499 ,112 ,174 ,22 ,5 ,1 ,159 ,1 ,21 ,,,,,4 
서울특별시 중구 필동3가,376 ,77 ,133 ,26 ,3 ,,118 ,,18 ,,,,,1 
서울특별시 중구 남학동,19 ,4 ,8 ,,,,7 ,,,,,,,
서울특별시 중구 주자동,46 ,12 ,17 ,4 ,,,13 ,,,,,,,
서울특별시 중구 예장동,357 ,66 ,146 ,22 ,18 ,,83 ,,18 ,,,,1 ,3 
서울특별시 중구 장충동1가,576 ,136 ,202 ,40 ,9 ,,167 ,,17 ,,,,2 ,3 
서울특별시 중구 장충동2가,758 ,128 ,315 ,65 ,16 ,,202 ,,23 ,,1 ,,1 ,7 
서울특별시 중구 광희동1가,232 ,38 ,109 ,16 ,1 ,,61 ,,6 ,,,,1 ,
서울특별시 중구 광희동2가,232 ,37 ,98 ,22 ,,,67 ,,5 ,,,,,3 
서울특별시 중구 쌍림동,300 ,61 ,128 ,24 ,3 ,,74 ,1 ,9 ,,,,,
서울특별시 중구 을지로6가,250 ,61 ,112 ,10 ,2 ,,50 ,,11 ,,1 ,,2 ,1 
서울특별시 중구 을지로7가,49 ,15 ,18 ,3 ,,,8 ,,,,,,,5 
서울특별시 중구 을지로4가,138 ,41 ,57 ,3 ,1 ,,29 ,,6 ,,,,,1 
서울특별시 중구 을지로5가,216 ,47 ,102 ,12 ,2 ,,44 ,,9 ,,,,,
서울특별시 중구 주교동,169 ,40 ,79 ,5 ,,,42 ,,2 ,,,,,1 
서울특별시 중구 방산동,42 ,4 ,26 ,1 ,1 ,,10 ,,,,,,,
서울특별시 중구 오장동,304 ,60 ,136 ,34 ,,,68 ,,6 ,,,,,
서울특별시 중구 을지로3가,410 ,98 ,186 ,15 ,,,97 ,,13 ,,,,1 ,
서울특별시 중구 입정동,141 ,17 ,79 ,10 ,1 ,,32 ,,2 ,,,,,
서울특별시 중구 산림동,170 ,36 ,88 ,5 ,1 ,,38 ,,2 ,,,,,
서울특별시 중구 충무로3가,261 ,49 ,86 ,9 ,4 ,,99 ,,12 ,,,,2 ,
서울특별시 중구 초동,153 ,20 ,65 ,5 ,,,59 ,,4 ,,,,,
서울특별시 중구 인현동1가,118 ,16 ,65 ,7 ,,,27 ,2 ,1 ,,,,,
서울특별시 중구 저동2가,209 ,51 ,75 ,5 ,2 ,,70 ,,6 ,,,,,
서울특별시 중구 신당동,"20,224 ","4,445 ","7,303 ","1,593 ",120 ,5 ,"5,980 ",4 ,693 ,16 ,9 ,,10 ,46 
서울특별시 중구 흥인동,752 ,217 ,271 ,22 ,2 ,,219 ,,18 ,2 ,,,,1 
서울특별시 중구 무학동,128 ,20 ,67 ,4 ,11 ,,20 ,,4 ,,1 ,,,1 
서울특별시 중구 황학동,"3,456 ",793 ,"1,373 ",145 ,27 ,1 ,983 ,,120 ,1 ,1 ,,2 ,10 
서울특별시 중구 서소문동,"1,280 ",121 ,939 ,36 ,12 ,,135 ,1 ,11 ,,,,,25 
서울특별시 중구 정동,375 ,79 ,169 ,13 ,3 ,,95 ,,15 ,,,,1 ,
서울특별시 중구 순화동,"1,297 ",234 ,473 ,37 ,12 ,,427 ,1 ,64 ,1 ,,,,48 
서울특별시 중구 의주로1가,74 ,25 ,26 ,1 ,,,20 ,,2 ,,,,,
서울특별시 중구 충정로1가,28 ,6 ,15 ,,,,7 ,,,,,,,
서울특별시 중구 중림동,"1,805 ",428 ,647 ,94 ,14 ,1 ,553 ,,67 ,,1 ,,,
서울특별시 중구 의주로2가,3 ,,2 ,,,,1 ,,,,,,,
서울특별시 중구 만리동1가,533 ,107 ,237 ,15 ,5 ,,133 ,9 ,26 ,,1 ,,,
서울특별시 중구 만리동2가,"1,532 ",405 ,443 ,60 ,17 ,1 ,500 ,1 ,96 ,1 ,1 ,,2 ,5 
서울특별시 용산구 도동1가,2 ,2 ,,,,,,,,,,,,
서울특별시 용산구 후암동,"4,040 ",910 ,"1,454 ",283 ,32 ,1 ,"1,227 ",9 ,117 ,2 ,1 ,,3 ,1 
서울특별시 용산구 용산동2가,"2,144 ",507 ,749 ,182 ,14 ,1 ,633 ,1 ,53 ,1 ,1 ,,1 ,1 
서울특별시 용산구 용산동4가,4 ,1 ,,,,,3 ,,,,,,,
서울특별시 용산구 갈월동,"1,358 ",378 ,508 ,56 ,8 ,,269 ,,131 ,3 ,,,1 ,4 
서울특별시 용산구 남영동,265 ,56 ,108 ,12 ,1 ,,72 ,,4 ,,,,,12 
서울특별시 용산구 용산동1가,9 ,3 ,2 ,,2 ,,2 ,,,,,,,
서울특별시 용산구 동자동,965 ,253 ,339 ,44 ,6 ,,271 ,,43 ,1 ,1 ,,,7 
서울특별시 용산구 서계동,"1,266 ",220 ,509 ,132 ,4 ,,369 ,,29 ,,,,1 ,2 
서울특별시 용산구 청파동1가,"1,665 ",334 ,617 ,95 ,8 ,,545 ,,59 ,,2 ,,,5 
서울특별시 용산구 청파동2가,622 ,117 ,224 ,47 ,6 ,,207 ,,21 ,,,,,
서울특별시 용산구 청파동3가,741 ,140 ,267 ,53 ,3 ,1 ,253 ,,21 ,,,,1 ,2 
서울특별시 용산구 원효로1가,"2,092 ",484 ,790 ,95 ,22 ,,612 ,3 ,79 ,2 ,,,1 ,4 
서울특별시 용산구 원효로2가,754 ,146 ,313 ,45 ,2 ,1 ,223 ,,24 ,,,,,
서울특별시 용산구 신창동,631 ,130 ,223 ,42 ,3 ,1 ,200 ,,30 ,,1 ,,,1 
서울특별시 용산구 산천동,"1,680 ",421 ,528 ,97 ,7 ,1 ,538 ,,87 ,,,,,1 
서울특별시 용산구 청암동,286 ,110 ,64 ,2 ,2 ,,87 ,,19 ,1 ,,,,1 
서울특별시 용산구 원효로3가,"1,092 ",182 ,597 ,46 ,7 ,,226 ,,31 ,1 ,,,1 ,1 
서울특별시 용산구 원효로4가,"1,369 ",293 ,492 ,76 ,22 ,,415 ,4 ,62 ,1 ,1 ,,1 ,2 
서울특별시 용산구 효창동,"3,112 ",708 ,"1,128 ",169 ,12 ,,921 ,,156 ,4 ,4 ,,7 ,3 
서울특별시 용산구 도원동,"1,677 ",410 ,509 ,87 ,11 ,1 ,583 ,,72 ,1 ,1 ,,,2 
서울특별시 용산구 용문동,"1,728 ",351 ,648 ,115 ,13 ,1 ,528 ,,69 ,,,,2 ,1 
서울특별시 용산구 문배동,"2,212 ",643 ,788 ,52 ,27 ,1 ,565 ,,128 ,4 ,,,1 ,3 
서울특별시 용산구 신계동,"1,203 ",289 ,435 ,52 ,9 ,,344 ,,67 ,2 ,,,2 ,3 
서울특별시 용산구 한강로1가,"3,651 ","1,775 ",562 ,53 ,15 ,3 ,"1,070 ",1 ,80 ,1 ,2 ,,,89 
서울특별시 용산구 한강로2가,"3,373 ",891 ,"1,247 ",135 ,28 ,2 ,902 ,2 ,155 ,3 ,2 ,,2 ,4 
서울특별시 용산구 용산동3가,199 ,29 ,68 ,9 ,2 ,,80 ,,10 ,,,,1 ,
서울특별시 용산구 용산동5가,"1,091 ",396 ,287 ,12 ,8 ,1 ,313 ,,70 ,2 ,,,1 ,1 
서울특별시 용산구 한강로3가,"4,086 ","1,178 ","1,460 ",118 ,45 ,1 ,"1,030 ",2 ,207 ,8 ,,,1 ,36 
서울특별시 용산구 이촌동,"16,134 ","6,317 ","3,798 ",360 ,258 ,1 ,"4,385 ",1 ,970 ,8 ,4 ,,12 ,20 
서울특별시 용산구 이태원동,"4,857 ","1,318 ","1,599 ",275 ,68 ,,"1,387 ",6 ,185 ,4 ,2 ,,6 ,7 
서울특별시 용산구 한남동,"7,530 ","2,358 ","2,526 ",297 ,98 ,1 ,"1,898 ",,311 ,8 ,2 ,,3 ,28 
서울특별시 용산구 동빙고동,"2,133 ",483 ,686 ,152 ,15 ,,684 ,,106 ,,2 ,,,5 
서울특별시 용산구 서빙고동,"2,207 ",738 ,628 ,52 ,8 ,,625 ,,151 ,1 ,,,2 ,2 
서울특별시 용산구 주성동,271 ,61 ,95 ,22 ,1 ,,75 ,,15 ,,1 ,,,1 
서울특별시 용산구 용산동6가,57 ,3 ,49 ,,,,4 ,,1 ,,,,,
서울특별시 용산구 보광동,"3,087 ",692 ,"1,113 ",269 ,14 ,1 ,883 ,,111 ,,,,1 ,3 
서울특별시 성동구 상왕십리동,"1,196 ",294 ,424 ,41 ,5 ,,364 ,,55 ,2 ,1 ,,,10 
서울특별시 성동구 하왕십리동,"9,230 ","2,181 ","3,079 ",446 ,56 ,3 ,"2,974 ",1 ,450 ,12 ,2 ,,8 ,18 
서울특별시 성동구 홍익동,"1,032 ",205 ,445 ,59 ,6 ,,289 ,10 ,17 ,1 ,,,,
서울특별시 성동구 도선동,"1,155 ",232 ,452 ,72 ,3 ,1 ,349 ,1 ,43 ,,,,1 ,1 
서울특별시 성동구 마장동,"8,493 ","1,206 ","3,738 ","1,127 ",102 ,2 ,"2,071 ",4 ,216 ,3 ,7 ,,3 ,14 
서울특별시 성동구 사근동,"1,194 ",228 ,468 ,129 ,2 ,,325 ,,41 ,,,,1 ,
서울특별시 성동구 행당동,"11,999 ","2,823 ","3,838 ",612 ,122 ,4 ,"3,912 ",13 ,613 ,11 ,10 ,,4 ,37 
서울특별시 성동구 응봉동,"4,603 ","1,087 ","1,515 ",245 ,18 ,2 ,"1,472 ",,248 ,3 ,2 ,,,11 
서울특별시 성동구 금호동1가,"4,842 ","1,107 ","1,559 ",361 ,23 ,5 ,"1,531 ",2 ,229 ,4 ,2 ,,3 ,16 
서울특별시 성동구 금호동2가,"2,960 ",742 ,"1,020 ",137 ,22 ,4 ,874 ,1 ,147 ,6 ,1 ,,1 ,5 
서울특별시 성동구 금호동3가,"3,292 ",775 ,"1,135 ",210 ,14 ,1 ,"1,026 ",,122 ,3 ,1 ,,1 ,4 
서울특별시 성동구 금호동4가,"4,545 ","1,226 ","1,485 ",210 ,39 ,2 ,"1,301 ",,258 ,4 ,3 ,,2 ,15 
서울특별시 성동구 옥수동,"8,828 ","2,568 ","2,706 ",274 ,69 ,9 ,"2,628 ",11 ,505 ,18 ,6 ,,6 ,28 
서울특별시 성동구 성수동1가,"17,735 ","2,512 ","5,068 ",997 ,616 ,2 ,"7,599 ",318 ,448 ,8 ,35 ,,9 ,123 
서울특별시 성동구 성수동2가,"15,634 ","2,718 ","6,263 ","1,523 ",133 ,2 ,"4,362 ",94 ,478 ,21 ,4 ,,9 ,27 
서울특별시 성동구 송정동,"2,839 ",497 ,"1,145 ",274 ,14 ,1 ,820 ,1 ,76 ,3 ,2 ,,,6 
서울특별시 성동구 용답동,"7,437 ","1,342 ","2,831 ","1,080 ",41 ,8 ,"1,973 ",2 ,148 ,3 ,2 ,,1 ,6 
서울특별시 광진구 중곡동,"21,656 ","3,743 ","8,453 ","2,166 ",84 ,7 ,"6,560 ",18 ,568 ,12 ,14 ,,4 ,27 
서울특별시 광진구 능동,"3,001 ",608 ,"1,082 ",227 ,16 ,2 ,953 ,,104 ,,2 ,,1 ,6 
서울특별시 광진구 구의동,"22,682 ","4,789 ","7,850 ","1,657 ",103 ,9 ,"7,319 ",6 ,873 ,9 ,14 ,,15 ,38 
서울특별시 광진구 광장동,"11,738 ","3,181 ","3,489 ",416 ,54 ,2 ,"3,838 ",6 ,706 ,12 ,4 ,,4 ,26 
서울특별시 광진구 자양동,"30,367 ","6,196 ","12,164 ","2,141 ",163 ,9 ,"8,425 ",156 ,995 ,53 ,16 ,,8 ,41 
서울특별시 광진구 노유동,1 ,1 ,,,,,,,,,,,,
서울특별시 광진구 화양동,"4,054 ",870 ,"1,341 ",390 ,25 ,,"1,296 ",1 ,116 ,2 ,3 ,,3 ,7 
서울특별시 광진구 군자동,"5,059 ",955 ,"1,901 ",510 ,26 ,3 ,"1,492 ",1 ,158 ,,1 ,,4 ,8 
서울특별시 동대문구 신설동,"1,377 ",262 ,599 ,85 ,2 ,,398 ,,29 ,,,,,2 
서울특별시 동대문구 용두동,"8,448 ","1,542 ","3,504 ",591 ,62 ,7 ,"2,454 ",10 ,251 ,3 ,4 ,,2 ,18 
서울특별시 동대문구 제기동,"6,464 ","1,270 ","2,564 ",519 ,23 ,,"1,896 ",2 ,176 ,2 ,2 ,,1 ,9 
서울특별시 동대문구 전농동,"13,211 ","2,644 ","4,731 ","1,098 ",77 ,5 ,"4,120 ",2 ,494 ,4 ,6 ,,7 ,23 
서울특별시 동대문구 답십리동,"18,212 ","3,593 ","6,606 ","1,518 ",102 ,6 ,"5,650 ",11 ,664 ,11 ,11 ,,6 ,34 
서울특별시 동대문구 장안동,"23,722 ","4,525 ","9,056 ","2,226 ",104 ,7 ,"6,961 ",3 ,739 ,14 ,11 ,,14 ,62 
서울특별시 동대문구 청량리동,"5,169 ","1,015 ","1,858 ",569 ,33 ,,"1,538 ",,138 ,8 ,1 ,,3 ,6 
서울특별시 동대문구 회기동,"2,100 ",437 ,708 ,159 ,9 ,2 ,702 ,,73 ,1 ,1 ,,3 ,5 
서울특별시 동대문구 휘경동,"10,241 ","1,943 ","3,738 ",917 ,43 ,2 ,"3,197 ",16 ,344 ,8 ,9 ,,5 ,19 
서울특별시 동대문구 이문동,"9,446 ","1,888 ","3,314 ",838 ,39 ,3 ,"3,019 ",2 ,305 ,3 ,3 ,,5 ,27 
서울특별시 중랑구 면목동,"37,557 ","6,376 ","14,560 ","3,951 ",165 ,12 ,"11,192 ",250 ,964 ,15 ,15 ,,15 ,42 
서울특별시 중랑구 상봉동,"13,686 ","2,269 ","4,929 ","1,487 ",71 ,8 ,"4,449 ",5 ,422 ,12 ,5 ,,4 ,25 
서울특별시 중랑구 중화동,"11,853 ","2,031 ","4,594 ","1,280 ",50 ,3 ,"3,618 ",,249 ,1 ,4 ,,5 ,18 
서울특별시 중랑구 묵동,"16,419 ","3,073 ","6,243 ","1,464 ",61 ,3 ,"5,057 ",3 ,473 ,6 ,3 ,,4 ,29 
서울특별시 중랑구 망우동,"15,048 ","2,111 ","5,621 ","2,930 ",95 ,5 ,"3,948 ",7 ,293 ,4 ,10 ,,6 ,18 
서울특별시 중랑구 신내동,"19,733 ","3,280 ","7,210 ","2,338 ",137 ,5 ,"5,957 ",112 ,610 ,6 ,15 ,,7 ,56 
서울특별시 성북구 성북동,"3,355 ",925 ,"1,057 ",176 ,32 ,1 ,"1,005 ",1 ,145 ,5 ,2 ,,2 ,4 
서울특별시 성북구 성북동1가,385 ,102 ,122 ,13 ,4 ,,128 ,,14 ,,,,,2 
